,Total Fertility Rate in Norway
1800,4.32
1801,4.07
1802,3.91
1803,4.2
1804,3.94
1805,4.33
1806,4.39
1807,4.27
1808,4
1809,3.21
1810[6],3.87
1811,3.99
1812,4.26
1813,3.76
1814,3.53
1815,4.4
1816,5.05
1817,4.67
1818,4.43
1819,4.59
1820[6],4.79
1821,5
1822,4.74
1823,4.88
1824,4.67
1825,4.94
1826,5.01
1827,4.61
1828,4.58
1829,4.84
1830[6],4.65
1831,4.46
1832,4.3
1833,4.42
1834,4.56
1835,4.7
1836,4.23
1837,4.13
1838,4.36
1839,3.84
1840[6],4.01
1841,4.29
1842,4.42
1843,4.34
1844,4.31
1845,4.49
1846,4.4
1847,4.43
1848,4.28
1849,4.61
1850[6],4.45
1851,4.6
1852,4.46
1853,4.6
1854,4.93
1855,4.61
1856,4.42
1857,4.54
1858,4.62
1859,4.82
1860[6],4.63
1861,4.3
1862,4.52
1863,4.69
1864,4.55
1865,4.6
1866,4.61
1867,4.38
1868,4.3
1869,4.22
1870[6],4.26
1871,4.29
1872,4.4
1873,4.41
1874,4.59
1875,4.67
1876,4.68
1877,4.69
1878,4.64
1879,4.71
1880[6],4.53
1881,4.4
1882,4.47
1883,4.51
1884,4.59
1885,4.56
1886,4.48
1887,4.56
1888,4.42
1889,4.31
1890[6],4.43
1891,4.51
1892,4.35
1893,4.47
1894,4.38
1895,4.52
1896,4.47
1897,4.48
1898,4.53
1899[6],4.47
