,Unnamed: 0,Befolkning i tusentals (x 1000),Födda,Döda,Naturlig förändring,Födelsetal per 1 000 invånare,Dödstal per 1 000 invånare,Naturlig förändring per 1 000 invånare,Total fertilitet
0,1900,2 231,66 229,35 345,30 884,297,158,138,
1,1901,2 255,67 303,33 821,33 482,298,150,148,
2,1902,2 276,66 494,31 670,34 824,292,139,153,
3,1903,2 288,65 470,33 847,31 623,286,148,138,
4,1904,2 298,64 143,32 895,31 248,279,143,136,
5,1905,2 309,62 601,34 050,28 551,271,147,124,
6,1906,2 319,62 091,31 668,30 423,268,137,131,
7,1907,2 329,61 302,33 345,27 957,263,143,120,
8,1908,2 346,61 686,33 366,28 320,263,142,121,
9,1909,2 368,63 324,32 111,31 213,267,136,132,
10,1910,2 384,61 486,32 207,29 279,258,135,123,
11,1911,2 401,61 727,31 691,30 036,257,132,125,
12,1912,2 423,61 409,32 663,28 746,253,135,119,
13,1913,2 447,61 294,32 442,28 852,250,133,118,
14,1914,2 472,62 111,33 280,28 831,251,135,117,
15,1915,2 498,58 975,33 425,25 550,236,134,102,
16,1916,2 522,61 120,34 910,26 210,242,138,104,
17,1917,2 551,63 969,34 699,29 270,251,136,115,
18,1918,2 578,63 468,44 218,19 250,246,172,75,
19,1919,2 603,59 486,35 821,23 665,229,138,91,
20,1920,2 635,69 326,33 634,35 692,263,128,135,
21,1921,2 668,64 610,30 698,33 912,242,115,127,
22,1922,2 695,62 908,32 484,30 424,233,121,113,
23,1923,2 713,61 731,31 543,30 188,228,116,111,
24,1924,2 729,58 021,30 850,27 171,213,113,100,
25,1925,2 747,54 066,30 481,23 585,197,111,86,
26,1926,2 763,54 163,29 933,24 230,196,108,88,
27,1927,2 775,50 175,31 141,19 034,181,112,69,
28,1928,2 785,49 881,30 301,19 580,179,109,70,232.0
29,1929,2 795,48 372,32 023,16 349,173,115,58,223.0
30,1930,2 807,47 844,29 616,18 228,170,105,65,216.0
31,1931,2 824,45 989,30 674,15 315,163,109,54,207.0
32,1932,2 842,45 451,30 102,15 349,160,106,54,203.0
33,1933,2 858,42 114,28 943,13 171,147,101,46,191.0
34,1934,2 874,41 833,28 340,13 493,146,99,47,184.0
35,1935,2 889,41 321,29 747,11 574,143,103,40,180.0
36,1936,2 904,42 240,30 100,12 140,145,104,42,184.0
37,1937,2 919,43 808,30 217,13 591,150,104,47,189.0
38,1938,2 936,45 319,29 211,16 108,154,99,55,186.0
39,1939,2 954,46 603,29 870,16 733,158,101,57,200.0
40,1940,2 973,47 943,32 045,15 898,161,108,53,204.0
41,1941,2 990,45 773,32 209,13 564,153,108,45,193.0
42,1942,3 009,53 225,32 062,21 163,177,107,70,225.0
43,1943,3 032,57 281,31 623,25 658,189,104,85,221.0
44,1944,3 060,62 241,32 652,29 589,203,107,97,259.0
45,1945,3 091,61 814,30 030,31 784,200,97,103,255.0
46,1946,3 127,70 727,29 220,41 507,226,93,133,289.0
47,1947,3 165,67 625,29 894,37 731,214,94,119,274.0
48,1948,3 201,65 618,28 375,37 243,205,89,116,262.0
49,1949,3 234,63 052,29 082,33 970,195,90,105,249.0
50,1950,3 265,62 410,29 699,32 711,191,91,100,253.0
51,1951,3 296,60 571,27 736,32 835,184,84,100,247.0
52,1952,3 328,62 543,28 417,34 126,188,85,103,258.0
53,1953,3 361,62 985,28 412,34 573,187,85,103,264.0
54,1954,3 394,62 739,29 158,33 581,185,86,99,267.0
55,1955,3 427,63 552,29 099,34 453,185,85,101,276.0
56,1956,3 460,64 171,29 981,34 190,185,87,99,283.0
57,1957,3 492,63 063,30 560,32 503,181,88,93,283.0
58,1958,3 523,62 985,31 645,31 340,179,90,89,286.0
59,1959,3 553,63 005,31 761,31 244,177,89,88,288.0
60,1960,3 581,61 880,32 543,29 337,173,91,82,285.0
