,Vid utgången av år,Folkmängd,Årlig tillväxt,Årlig tillväxt
,Vid utgången av år,Folkmängd,Totalt,Promille
0,1570,900 000,—,—
1,1650,1 225 000,4 063,386
2,1700,1 485 000,5 200,386
3,1720,1 350 000,−6 750,"−4,75"
4,1755,1 878 000,15 086,948
5,1815,2 465 000,9 783,454
6,1865,4 099 000,32 680,1022
7,1900,5 140 000,29 743,648
8,2000,8 861 000,,
9,2020,10 379 000,,
10,Datan avser folkmängden inom Sveriges nuvarande gränser.,Datan avser folkmängden inom Sveriges nuvarande gränser.,Datan avser folkmängden inom Sveriges nuvarande gränser.,Datan avser folkmängden inom Sveriges nuvarande gränser.
